sample,label,n_windows_before,n_windows_after,mal_windows_before,mal_windows_after,flipped_1_to_0
26,1,6,6,2,2,0
90,1,1248,1248,936,936,0
168,1,1250,1250,942,942,0
202,1,247,247,244,244,0
268,1,196,196,25,25,0
321,1,304,304,58,58,0
325,1,35,35,32,32,0
444,1,1250,1250,932,932,0
460,0,298,298,38,38,0
472,1,313,313,57,57,0
489,1,274,274,19,19,0
526,1,261,261,23,23,0
543,1,1250,1250,887,887,0
578,1,1250,1250,941,941,0
588,1,1250,1250,792,792,0
649,1,199,199,18,18,0
716,1,261,261,22,22,0
722,1,262,262,23,23,0
736,1,261,261,23,23,0
742,0,298,298,38,38,0
752,1,1250,1250,932,932,0
798,1,260,260,23,23,0
807,1,277,277,19,19,0
825,1,136,136,46,46,0
854,1,323,323,42,42,0
915,1,289,289,36,36,0
916,0,297,297,37,37,0
999,1,199,199,15,15,0
1058,1,261,261,23,23,0
1102,0,297,297,38,38,0
1103,1,1250,1250,945,945,0
1136,1,296,296,291,291,0
1222,1,302,302,21,21,0
1259,1,4,4,0,0,0
1291,0,986,986,745,745,0
1433,0,1250,1250,983,983,0
1447,1,277,277,19,19,0
1457,0,269,269,17,17,0
1521,1,288,288,25,25,0
1620,0,297,297,37,37,0
1621,0,276,276,19,19,0
1654,1,262,262,22,22,0
1740,1,271,271,21,22,0
1745,1,1250,1250,936,936,0
1801,1,261,261,23,23,0
1815,1,262,262,22,22,0
1881,1,306,306,40,40,0
1890,1,187,187,184,184,0
1926,1,1250,1250,927,927,0
2013,1,7,7,3,3,0
2072,1,214,214,62,62,0
2151,1,1250,1250,938,938,0
2164,0,211,211,22,22,0
2193,0,297,297,37,37,0
2236,1,329,329,19,19,0
2245,1,261,261,23,23,0
2274,1,187,187,15,15,0
2285,1,1250,1250,673,673,0
2308,1,262,262,23,23,0
2334,1,1250,1250,929,929,0
2362,0,318,318,38,38,0
2452,1,280,280,20,20,0
2700,1,511,511,3,3,0
2792,1,141,141,40,40,0
2835,1,261,261,22,22,0
2850,1,177,177,5,5,0
2851,0,199,199,15,15,0
2871,1,141,141,49,49,0
2902,1,261,261,23,23,0
2943,1,1250,1250,934,934,0
2956,0,300,300,39,39,0
3005,1,1250,1250,928,928,0
3149,1,172,172,169,169,0
3161,1,964,964,654,654,0
3191,1,35,35,32,32,0
3193,1,260,260,22,22,0
3241,1,1250,1250,945,945,0
3242,1,176,176,4,4,0
3272,1,276,276,18,18,0
3284,1,262,262,24,24,0
3330,1,279,279,19,19,0
3397,1,262,262,22,22,0
3424,1,254,254,11,11,0
3461,1,274,274,17,17,0
3472,1,279,279,19,19,0
3484,1,322,322,77,77,0
3518,1,194,194,25,25,0
3526,1,261,261,23,23,0
3540,1,261,261,23,23,0
3555,1,277,277,18,18,0
3583,1,1250,1250,932,932,0
3599,0,198,198,15,15,0
3603,1,1250,1250,887,887,0
3641,1,297,297,291,291,0
3664,1,952,952,722,722,0
3681,1,277,277,19,19,0
3707,1,724,724,655,655,0
3740,1,308,308,41,41,0
3813,1,209,209,25,25,0
3815,1,1250,1250,935,935,0
3955,0,1250,1250,1121,1121,0
3958,1,276,276,17,17,0
4008,1,123,123,93,93,0
4103,1,1250,1250,938,938,0
4108,1,260,260,22,22,0
4173,1,106,106,12,12,0
4217,0,276,276,17,17,0
4227,1,279,279,20,20,0
4259,1,172,172,169,169,0
4292,0,298,298,37,37,0
4297,1,298,298,283,283,0
4347,1,179,179,5,5,0
4417,1,262,262,23,23,0
4422,1,278,278,18,18,0
4485,0,183,183,15,15,0
4543,1,1250,1250,946,946,0
4616,1,279,279,20,20,0
4634,1,140,140,41,41,0
4653,0,296,296,38,38,0
4679,1,261,261,23,23,0
4717,1,304,304,45,45,0
4801,1,1227,1227,917,917,0
4820,1,279,279,20,20,0
4837,1,160,160,54,54,0
4842,1,249,249,245,245,0
4905,0,298,298,38,38,0
4908,1,887,887,693,693,0
4917,0,317,317,313,313,0
4936,1,1250,1250,915,915,0
5018,1,318,318,64,64,0
5142,1,279,279,20,20,0
5170,1,1250,1250,935,935,0
5174,1,4,4,0,0,0
5223,1,1250,1250,932,932,0
5247,0,299,299,39,39,0
5267,1,1250,1250,938,938,0
5312,1,1250,1250,947,947,0
5325,1,261,261,22,22,0
5334,1,349,349,327,327,0
5370,1,262,262,22,22,0
5386,1,295,295,256,256,0
5413,0,298,298,39,39,0
5440,1,1250,1250,937,937,0
5525,1,1250,1250,933,933,0
5530,0,298,298,36,36,0
5560,1,262,262,22,22,0
5574,0,297,297,37,37,0
5657,1,259,259,20,20,0
5662,1,238,238,4,4,0
5715,1,1250,1250,936,936,0
5753,1,28,28,26,26,0
5772,1,199,199,19,19,0
5774,1,278,278,19,19,0
5833,0,300,300,38,38,0
5841,0,278,278,18,18,0
5844,1,299,299,21,21,0
5885,1,1250,1250,949,949,0
5915,1,1250,1250,937,937,0
5991,1,184,184,9,9,0
5998,0,1042,1042,795,795,0
6005,1,1250,1250,926,926,0
6058,1,273,273,17,16,1
6182,1,265,265,19,19,0
6240,1,295,295,61,61,0
6248,0,299,299,37,37,0
