sid,label,prob_before,prob_after,pred_before,pred_after,changed
26,1,0.3767520444147711,0.3767520444147711,0,0,0
90,1,0.9728614417707487,0.9728614409976247,0,0,0
168,1,0.9723318708622535,0.972410318647556,0,0,0
202,1,0.24171486449825275,0.24171482106945572,0,0,0
268,1,0.2702231329175117,0.27022313562707867,0,0,0
321,1,0.3498408717769007,0.34984086870484327,0,0,0
325,1,0.6830210376131634,0.655204483659994,0,0,0
444,1,0.9743001974934707,0.9743001974315705,0,0,0
460,0,0.4735306255665581,0.473530626870946,0,0,0
472,1,0.5115179545629635,0.5115179548002677,0,0,0
489,1,0.8113718452962784,0.8113718457335984,0,0,0
526,1,0.4507566794848218,0.45349314573566657,0,0,0
543,1,0.934451618815781,0.9346288032942244,0,0,0
578,1,0.9768461342577136,0.9768461344192317,0,0,0
588,1,0.9422608627563923,0.9412103319887077,0,0,0
649,1,0.6594046128429243,0.6594046083577628,0,0,0
716,1,0.44739200764701537,0.45031768799129673,0,0,0
722,1,0.4491086796479747,0.4513853441549821,0,0,0
736,1,0.45037470338975927,0.4503746944034156,0,0,0
742,0,0.4803996033677071,0.4803995347531013,0,0,0
752,1,0.9747311907351569,0.9747311905464116,0,0,0
798,1,0.4568274812893257,0.4602023170101833,0,0,0
807,1,0.7740763722819348,0.7704163801534987,0,0,0
825,1,0.13946436067679494,0.13946460763569032,0,0,0
854,1,0.49484804998231346,0.49484805102310103,0,0,0
915,1,0.7490635076631057,0.7490635084628628,0,0,0
916,0,0.47579436938595654,0.47579430077540547,0,0,0
999,1,0.7057347126011569,0.7057347097296832,0,0,0
1058,1,0.45055217450197516,0.4505521753643072,0,0,0
1102,0,0.479358335821006,0.4793582673058577,0,0,0
1103,1,0.9739480704274789,0.974030872460487,0,0,0
1136,1,0.339308715113644,0.3356450010699175,0,0,0
1222,1,0.6946515080916619,0.6946515057311492,0,0,0
1259,1,0.5086578968218032,0.5244622698955894,0,0,0
1291,0,0.8984024867220857,0.8984024884974984,0,0,0
1433,0,0.9666500121953392,0.9666500119145869,0,0,0
1447,1,0.4828035826022749,0.4828035826022749,0,0,0
1457,0,0.7663157370810967,0.7663157306635983,0,0,0
1521,1,0.7794985331761324,0.7740993006464361,0,0,0
1620,0,0.4816992862641215,0.48169921775590174,0,0,0
1621,0,0.48307479323279207,0.48307479323279207,0,0,0
1654,1,0.4526974711152055,0.4547495074588818,0,0,0
1740,1,0.8240914205806493,0.8367736056691263,0,0,0
1745,1,0.9753907471611493,0.9753907470327139,0,0,0
1801,1,0.45062974727645116,0.4533481112742619,0,0,0
1815,1,0.4490956220928573,0.45102007692536344,0,0,0
1881,1,0.4740832931854024,0.47626648452783293,0,0,0
1890,1,0.26631668181353446,0.26631715343373763,0,0,0
1926,1,0.9717125998065329,0.9717998911525015,0,0,0
2013,1,0.40154167613656383,0.41347195229201283,0,0,0
2072,1,0.47246649957618053,0.47602479708387063,0,0,0
2151,1,0.9757418030955178,0.975816183512788,0,0,0
2164,0,0.30944199625899044,0.309441996057201,0,0,0
2193,0,0.4784422300694573,0.4784421614862271,0,0,0
2236,1,0.36173957388497874,0.3630241083644088,0,0,0
2245,1,0.45046861294039814,0.4521108593812884,0,0,0
2274,1,0.5775112687680324,0.5775112783063743,0,0,0
2285,1,0.8628695945243997,0.8628695928263681,0,0,0
2308,1,0.44816726209786684,0.45090375725949317,0,0,0
2334,1,0.9750788663577941,0.9751619346951544,0,0,0
2362,0,0.3825214659005608,0.3825214639690159,0,0,0
2452,1,0.7750486489119349,0.7750486489119349,0,0,0
2700,1,0.840670113501282,0.8413451076374114,0,0,0
2792,1,0.7007922707956714,0.5973128644658823,0,0,0
2835,1,0.465242576948466,0.4668739918950082,0,0,0
2850,1,0.5459563322690711,0.5459563296795015,0,0,0
2851,0,0.706954330934452,0.7069543280681646,0,0,0
2871,1,0.42246575129767455,0.42246572580452907,0,0,0
2902,1,0.44970692936532947,0.4497069209983647,0,0,0
2943,1,0.9791799758714654,0.9791799755387172,1,1,0
2956,0,0.47726982437687965,0.4772698246252521,0,0,0
3005,1,0.98401083707453,0.9840394150850988,1,1,0
3149,1,0.23843426805435178,0.23843516472855475,0,0,0
3161,1,0.9385171684008728,0.9387381341701297,0,0,0
3191,1,0.6291262693925789,0.6291262693925789,0,0,0
3193,1,0.4485738504472626,0.4511824800876403,0,0,0
3241,1,0.9765963191573646,0.9766472920580486,0,0,0
3242,1,0.6907446658423246,0.5694324305197662,0,0,0
3272,1,0.6306356717704085,0.6417805498222604,0,0,0
3284,1,0.4525356500433009,0.45459202732013687,0,0,0
3330,1,0.77431130882754,0.77431130882754,0,0,0
3397,1,0.4566904486492999,0.4566904486492999,0,0,0
3424,1,0.3771401558053146,0.37918479207173617,0,0,0
3461,1,0.7689775545123705,0.746016679702528,0,0,0
3472,1,0.7738928087779308,0.7738928087779308,0,0,0
3484,1,0.7963644392770901,0.7963644392770901,0,0,0
3518,1,0.46469718928208836,0.48411777937526634,0,0,0
3526,1,0.45068974355530406,0.4506897444226504,0,0,0
3540,1,0.46424413962257666,0.4664397651281813,0,0,0
3555,1,0.4646656280944104,0.4646656267180923,0,0,0
3583,1,0.9752555512495741,0.9752555515627226,0,0,0
3599,0,0.7066655560020719,0.7066655560020719,0,0,0
3603,1,0.9335597082107853,0.9337366345488815,0,0,0
3641,1,0.340363950491144,0.318124364616497,0,0,0
3664,1,0.9424035591873733,0.9425971146243926,0,0,0
3681,1,0.49468682350534426,0.49702545432925077,0,0,0
3707,1,0.8141493257815415,0.8028678266345676,0,0,0
3740,1,0.5293098254483011,0.530599822432516,0,0,0
3813,1,0.795154134173802,0.701796009491142,0,0,0
3815,1,0.9747024734824093,0.974702430215282,0,0,0
3955,0,0.9576548132886087,0.9576550189340236,0,0,0
3958,1,0.7747768324745419,0.719388036159962,0,0,0
4008,1,0.354894495048686,0.354894495048686,0,0,0
4103,1,0.9766412602010675,0.9767019229408058,0,0,0
4108,1,0.4522604803446422,0.45226047691869925,0,0,0
4173,1,0.3204094256609647,0.3204094256609647,0,0,0
4217,0,0.7711213724549755,0.7711213724549755,0,0,0
4227,1,0.7757404323844549,0.7757404323844549,0,0,0
4259,1,0.2385047906828583,0.23989889622825744,0,0,0
4292,0,0.47975436250841796,0.4797543650761055,0,0,0
4297,1,0.5129886426798471,0.5129916026448627,0,0,0
4347,1,0.6971496780646369,0.6971496761346458,0,0,0
4417,1,0.4493030812197562,0.4525203345402564,0,0,0
4422,1,0.7738035464364537,0.7738035464364537,0,0,0
4485,0,0.6334407966911733,0.6334407966911733,0,0,0
4543,1,0.974693498709025,0.9746934986331243,0,0,0
4616,1,0.7737304649031526,0.7737304638404886,0,0,0
4634,1,0.7010400204325166,0.7010400134971088,0,0,0
4653,0,0.4701181942318754,0.4701181258348886,0,0,0
4679,1,0.4507321381927372,0.45311301544557087,0,0,0
4717,1,0.6684958338072594,0.6621282563960066,0,0,0
4801,1,0.971051136828271,0.9710510659306323,0,0,0
4820,1,0.7750093017096998,0.7967015202252253,0,0,0
4837,1,0.5751515987352254,0.5751515468777992,0,0,0
4842,1,0.2345036242881302,0.23450356471043862,0,0,0
4905,0,0.4767140441136987,0.4767139754971193,0,0,0
4908,1,0.8986586136840378,0.8986583563972129,0,0,0
4917,0,0.34264297664507626,0.34264297004811,0,0,0
4936,1,0.9386023743785404,0.9386023748610033,0,0,0
5018,1,0.8130924535494358,0.7632886572246932,0,0,0
5142,1,0.7855439034462501,0.7855439024399712,0,0,0
5170,1,0.974911320836495,0.9749725014525067,0,0,0
5174,1,0.5086578968218032,0.5243879595071442,0,0,0
5223,1,0.9761869700322107,0.9761869702473966,0,0,0
5247,0,0.4722918217581413,0.47229182290446864,0,0,0
5267,1,0.9761561346225271,0.9761559269190578,0,0,0
5312,1,0.9809350217650312,0.9809930402033995,1,1,0
5325,1,0.448906938211156,0.45031575159194226,0,0,0
5334,1,0.46428061889171696,0.46367881708885267,0,0,0
5370,1,0.4531684151359469,0.4563551556311203,0,0,0
5386,1,0.5398708816957682,0.5398703707015705,0,0,0
5413,0,0.47817282480551054,0.4781727561821317,0,0,0
5440,1,0.9743148103796374,0.9743148060520469,0,0,0
5525,1,0.9866996058890042,0.9867435061396617,1,1,0
5530,0,0.4770365417561379,0.4770364731601374,0,0,0
5560,1,0.44904105199648514,0.4513253280714024,0,0,0
5574,0,0.47577944397176825,0.47577937536766246,0,0,0
5657,1,0.7619636468013524,0.7568371347207601,0,0,0
5662,1,0.6631131646761804,0.6631131699361625,0,0,0
5715,1,0.9760641290177456,0.976063903330658,0,0,0
5753,1,0.7228454953042248,0.7228454953042248,0,0,0
5772,1,0.6529823094232543,0.6529823063740218,0,0,0
5774,1,0.7756651958601761,0.7756651958601761,0,0,0
5833,0,0.4862842695971318,0.48628490634617577,0,0,0
5841,0,0.6500198913587545,0.6500198913972397,0,0,0
5844,1,0.681250590009227,0.6812505952734373,0,0,0
5885,1,0.9718542034731944,0.9718542025394367,0,0,0
5915,1,0.9878853521289971,0.9879151680647806,1,1,0
5991,1,0.2679250857534606,0.26965674312425714,0,0,0
5998,0,0.91151329430348,0.9115132943139747,0,0,0
6005,1,0.97058055718857,0.9705805579604677,0,0,0
6058,1,0.7683844691190429,0.8020746570408995,0,0,0
6182,1,0.7644152863602683,0.7644150086687147,0,0,0
6240,1,0.4146385890431293,0.4146385913348094,0,0,0
6248,0,0.486115968607506,0.4861159500776402,0,0,0
6251,1,0.9886139667658956,0.988613966936967,1,1,0
6261,0,0.4764519798513026,0.47645198242778797,0,0,0
6277,1,0.2477230662215952,0.247722984433252,0,0,0
6294,1,0.9855953526133765,0.9855953523028139,1,1,0
6310,1,0.6913534627869045,0.6012042245707809,0,0,0
6344,1,0.9655769339551612,0.9659297978605934,0,0,0
6388,1,0.6918735615903017,0.691873514269238,0,0,0
6456,0,0.48579182620882855,0.48579182620882855,0,0,0
6476,1,0.49328079812315184,0.4955819846813538,0,0,0
6597,1,0.7974410656990571,0.7974410656990571,0,0,0
6670,0,0.4920044368884323,0.4920044207058635,0,0,0
6752,1,0.45076459162170324,0.45076459106975725,0,0,0
6763,1,0.6317790683425398,0.7807740664544675,0,0,0
6775,0,0.2757810443960029,0.2757810474153497,0,0,0
6781,1,0.4484511643098402,0.4484511643098402,0,0,0
6809,1,0.7605022527822746,0.760502248113348,0,0,0
6825,1,0.6442911123385567,0.6482384075636148,0,0,0
6837,1,0.45083017210918114,0.45292502097705395,0,0,0
6864,0,0.7499160982510199,0.7499160957373775,0,0,0
6982,1,0.9707077627536183,0.9707077629372127,0,0,0
7048,1,0.45141893748932244,0.4536609847014395,0,0,0
7066,1,0.4730625282745255,0.4730625282745255,0,0,0
7220,1,0.7749131666563267,0.7597810624168512,0,0,0
7248,1,0.4513894696707622,0.45138947053723183,0,0,0
7249,0,0.6518656583596782,0.6518656583596782,0,0,0
7308,1,0.45800254169142846,0.45800254255802225,0,0,0
